GM_CODE,GM_NAAM,Elevation (m)
GM0575,Noordwijk,1.21
GM0579,Oegstgeest,3.03
GM0589,Oudewater,1
GM0590,Papendrecht,0
GM0597,Ridderkerk,1.26
GM0599,Rotterdam,7.24
GM0603,Rijswijk,2.3
GM0606,Schiedam,0.96
GM0610,Sliedrecht,0
GM0613,Albrandswaard,1
GM0614,Westvoorne,-1
GM0622,Vlaardingen,0.51
GM0626,Voorschoten,1
GM0627,Waddinxveen,-0.4
GM0629,Wassenaar,2.55
GM0632,Woerden,0
GM0637,Zoetermeer,4.34
GM0638,Zoeterwoude,-3
GM0642,Zwijndrecht,0.65
GM0654,Borsele,2.27
GM0664,Goes,3.83
GM0668,West Maas en Waal,3
GM0677,Hulst,5.22
GM0678,Kapelle,1
GM0687,Middelburg,5.18
GM0703,Reimerswaal,1.34
GM0715,Terneuzen,2.6
GM0716,Tholen,-1
GM0717,Veere,3.07
GM0718,Vlissingen,1.08
GM0736,De Ronde Venen,-5
GM0737,Tytsjerksteradiel,-2
GM0743,Asten,27.94
GM0744,Baarle-Nassau,27.06
GM0748,Bergen op Zoom,9.45
GM0753,Best,15.93
GM0755,Boekel,18
GM0756,Boxmeer,15.13
GM0757,Boxtel,11.42
GM0758,Breda,3
GM0762,Deurne,27.54
GM0765,Pekela,0
GM0766,Dongen,5.76
GM0770,Eersel,30
GM0772,Eindhoven,21.56
GM0777,Etten-Leur,4
GM0779,Geertruidenberg,0.74
GM0784,Gilze en Rijen,10.28
GM0785,Goirle,15.58
GM0786,Grave,35
GM0788,Haaren,10.88
GM0794,Helmond,20.44
GM0796,'s-Hertogenbosch,8.6
GM0797,Heusden,6
GM0798,Hilvarenbeek,17.54
GM0809,Loon op Zand,13.42
GM0815,Mill en Sint Hubert,19
GM0820,Nuenen,18
GM0823,Oirschot,18.21
GM0824,Oisterwijk,10.21
GM0826,Oosterhout,10.07
GM0828,Oss,7.68
GM0840,Rucphen,11.8
GM0845,Sint-Michielsgestel,7.84
GM0847,Someren,27
GM0848,Son en Breugel,14.9
GM0851,Steenbergen,0.76
GM0852,Waterland,-1
GM0855,Tilburg,14.92
GM0856,Uden,18.15
GM0858,Valkenswaard,27.14
GM0861,Veldhoven,24.68
GM0865,Vught,7.51
GM0866,Waalre,22.04
GM0867,Waalwijk,3.07
GM0873,Woensdrecht,6.71
GM0879,Zundert,13.645
GM0880,Wormerland,1
GM0882,Landgraaf,146
GM0888,Beek,80.48
GM0889,Beesel,26.97
GM0893,Bergen (L.),1.57
GM0899,Brunssum,76.41
GM0907,Gennep,14.54
GM0917,Heerlen,115.72
GM0928,Kerkrade,160
GM0935,Maastricht,54.31
GM0938,Meerssen,58.57
GM0944,Mook en Middelaar,13
GM0946,Nederweert,33.53
GM0957,Roermond,29.28
GM0965,Simpelveld,152
GM0971,Stein,58.83
GM0981,Vaals,193.46
GM0983,Venlo,22.89
GM0984,Venray,27.37
GM0986,Voerendaal,92.76
GM0988,Weert,33.06
GM0994,Valkenburg aan de Geul,138.54
GM0995,Lelystad,-2.89
GM1507,Horst aan de Maas,27
GM1509,Oude IJsselstreek,16
GM1525,Teylingen,0
GM1581,Utrechtse Heuvelrug,7
GM1586,Oost Gelre,20
GM1598,Koggenland,-2
GM1621,Lansingerland,-7
GM1640,Leudal,29
GM1641,Maasgouw,21
GM1652,Gemert-Bakel,22
GM1655,Halderberge,-2
GM1658,Heeze-Leende,23.41
GM1659,Laarbeek,15
GM1667,Reusel-De Mierden,27
GM1669,Roerdalen,29
GM1674,Roosendaal,6.42
GM1676,Schouwen-Duiveland,0.71
GM1680,Aa en Hunze,18.25
GM1681,Borger-Odoorn,7
GM1684,Cuijk,-2
GM1685,Landerd,16
GM1690,De Wolden,2
GM1695,Noord-Beveland,1.63
GM1696,Wijdemeren,-3
GM1699,Noordenveld,8
GM1700,Twenterand,10
GM1701,Westerveld,4
GM1702,Sint Anthonis,19.46
GM1705,Lingewaard,8
GM1706,Cranendonck,29
GM1708,Steenwijkerland,-3
GM1709,Moerdijk,1.05
GM1711,Echt-Susteren,31
GM1714,Sluis,2.46
GM1719,Drimmelen,1
GM1721,Bernheze,7
GM1723,Alphen-Chaam,11
GM1724,Bergeijk,32.75
GM1728,Bladel,32.67
GM1729,Gulpen-Wittem,26.43
GM1730,Tynaarlo,4
GM1731,Midden-Drenthe,15
GM1734,Overbetuwe,7
GM1735,Hof van Twente,12
GM1740,Neder-Betuwe,7
GM1742,Rijssen-Holten,25
GM1771,Geldrop-Mierlo,24
GM1773,Olst-Wijhe,2
GM1774,Dinkelland,41.02
GM1783,Westland,0
GM1842,Midden-Delfland,-2
GM1859,Berkelland,15.97
GM1876,Bronckhorst,12
GM1883,Sittard-Geleen,52.25
GM1884,Kaag en Braassem,0
GM1891,Dantumadiel,4
GM1892,Zuidplas,-4
GM1894,Peel en Maas,29
GM1895,Oldambt,-2
GM1896,Zwartewaterland,-2
GM1900,Sudwest-Fryslan,0
GM1901,Bodegraven-Reeuwijk,0
GM1903,Eijsden-Margraten,174
GM1904,Stichtse Vecht,0
GM1911,Hollands Kroon,-3
GM1916,Leidschendam-Voorburg,2
GM1924,Goeree-Overflakkee,-1
GM1926,Pijnacker-Nootdorp,-1.02
GM1930,Nissewaard,4
GM1931,Krimpenerwaard,-3
GM1940,De Fryske Marren,4.67
GM1942,Gooise Meren,-1
GM1945,Berg en Dal,1
GM1948,Meierijstad,10
GM1949,Waadhoeke,-1
GM1950,Westerwolde,1
GM1952,Midden-Groningen,-2
GM1954,Beekdaelen,89
GM1955,Montferland,55
GM1959,Altena,5
GM1960,West Betuwe,0
GM1961,Vijfheerenlanden,3.83
GM1963,Hoeksche Waard,-3
GM1966,Het Hogeland,0
GM1969,Westerkwartier,2
GM1970,Noardeast-Fryslan,-2
GM1978,Molenlanden,0
